785,Kansas	Topeka-Saline
786,Florida	Miami
787,Puerto Rico	
801,Utah	Salt Lake City			
802,Vermont				
803,South Carolina	Columbia-Sumter			
804,Virginia	Richmond-Lynchburg-Danville
805,California	Thousand Oaks-San Luis Obispo-Lompoc
806,Texas	Amarillo-Lubbock
807,Ontario	Thunder Bay
808,Hawaii
809,Dominican Republic
810,Michigan	Flint-Port Huron
812,Indiana	Terre Haute-Bloomington-New Albany-Evansville			
813,Florida	Tampa
814,Pennsylvania	Erie-Warren-Altoona-Johnstown			
815,Illinois	Rickford-Freeport-De Kalb-La Salle			
816,Missouri	Kansas City-Saint Joseph			
817,Texas	Fort Worth
818,California	Glendale-San Fernando
819,Quebec	Hull-Sherbrooke
828,North Carolina	Asheville
830,Texas	Uvalde
831,California	Salinas-Santa Cruz
832,Texas	Houston
843,South Carolina	Charleston-Myrtle Beach-Florence
845,New York	Poughkeepsie-Middletown
847,Illinois	Waukegan-Des Plaines
850,Florida	Tallahassee
856,New Jersey	Cherry Hill-Vineland
858,California	Solano Beach-northern San Diego area
859,Kentucky	Lexington
860,Connecticut	Hartford-Norwich
863,Florida	Avon Park-Clewiston
864,South Carolina	Greenville-Spartanburg-Anderson
865,Tennessee	Knoxville
867,Northwest Territories
867,Nunavut	
867,Yukon Territory
868,Trinidad and Tobago
869,Saint Kitts and Nevis
870,Arkansas	Jonesboro-Pine Bluff
876,Jamaica		
901,Tennessee	Memphis-Jackson-Union City			
902,Nova Scotia				
902,Prince Edward Island				
903,Texas	Tyler-Sherman
904,Florida	Jacksonville
905,Ontario	Hamilton area
909,California	Pomona-San Bernadino-Temecula
910,North Carolina	Fayetteville-Wilmington-Jacksonville
912,Georgia	Waycross-Brunswick-Savannah-Vidalia
913,Kansas	Kansas City-Overland Park			
914,New York	White Plains			
915,Texas	El Paso-Alpine-Midland-Abilene			
916,California	Sacramento			
917,New York	New York-Bronx-Queens-Brooklyn-Staten Island
918,Oklahoma	Tulsa-Mcalester-Bartlesville
919,North Carolina	Raleigh-Durham
920,Wisconsin	Green Bay-Oshkosh-Sheboygan
925,California	Concord-Pleasanton
931,Tennessee	Columbia-Manchester-Clarksville-Cookeville
936,Texas	Huntsville-Lufkin
937,Ohio	Dayton-Springfield-Hillsboro
940,Texas	Vernon-Wichita Falls
941,Florida	Naples-Fort Meyers
949,California	Irvine-Laguna Niguel
952,Minnesota	Bloomington
954,Florida	Fort Lauderdale
956,Texas	Mcallen-Brownsville
970,Colorado	Grand Junction-Steamboat Springs-Fort Collins
971,Oregon	Portland-Salem
972,Texas	Dallas-Plano
973,New Jersey	Paterson-Sussex
978,Massachusetts	Peabody-Fitchburg
979,Texas	Wharton
